field_name,stage_created,event_time,availability_time,source,version,allowed_products,forbidden_products,is_realized_outcome,is_test_population_statistic
order_id,raw,T_request,T_request,raw_order_identifier,v2,all,,false,false
driver_id,raw,T_request,T_request,raw_driver_identifier,v2,stage0;historical_replay,stage2_dispatch;stage3;stage4_counterfactual_feature,false,false
raw_gps_lon,raw,T_link_entry,T_link_entry,raw_gps,v2,stage0;stage1_target,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
raw_gps_lat,raw,T_link_entry,T_link_entry,raw_gps,v2,stage0;stage1_target,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
raw_gps_timestamp,raw,T_link_entry,T_link_entry,raw_gps,v2,stage0;stage1_target,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
origin_lon,stage0,T_request,T_request,order_or_endpoint_proxy,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
origin_lat,stage0,T_request,T_request,order_or_endpoint_proxy,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
destination_lon,stage0,T_request,T_request,order_or_endpoint_proxy,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
destination_lat,stage0,T_request,T_request,order_or_endpoint_proxy,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
od_source,stage0,T_request,T_request,stage0_order_od,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
matched_link_id,stage0,T_link_entry,T_complete,stage0_map_matching,v2,stage1_target;revealed_route_oracle,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
matched_link_seq,stage0,T_link_entry,T_complete,stage0_map_matching,v2,stage1_target;revealed_route_oracle,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
traversal_enter_time,stage0,T_link_entry,T_complete,stage0_link_traversal,v2,stage1_target;revealed_route_oracle,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
traversal_exit_time,stage0,T_link_entry,T_complete,stage0_link_traversal,v2,stage1_target;revealed_route_oracle,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
traversal_quality,stage0,T_complete,T_complete,stage0_quality,v2,stage1_target;stage0_audit,stage4_counterfactual_feature,true,false
turn_movement,stage0,T_link_entry,T_complete,stage0_turn_movement,v2,stage1_target;revealed_route_oracle,stage2_dispatch;stage3_feature;stage4_counterfactual_feature,true,false
lcs_realized,stage1,T_complete,T_complete,stage1_label_schema_v2,v2,stage2_target;stage3_target;evaluation_only,stage2_dispatch_feature;stage3_feature;stage4_counterfactual_feature,true,false
iis_realized,stage1,T_complete,T_complete,stage1_label_schema_v2,v2,stage2_target;stage3_target;evaluation_only,stage2_dispatch_feature;stage3_feature;stage4_counterfactual_feature,true,false
gns_realized,stage1,T_complete,T_complete,stage1_label_schema_v2,v2,stage2_target;stage3_target;evaluation_only,stage2_dispatch_feature;stage3_feature;stage4_counterfactual_feature,true,false
rts_realized,stage1,T_complete,T_complete,stage1_label_schema_v2,v2,stage2_target;stage3_target;evaluation_only,stage2_dispatch_feature;stage3_feature;stage4_counterfactual_feature,true,false
pmis_realized,stage1,T_complete,T_complete,stage1_label_schema_v2,v2,stage2_target;stage3_target;evaluation_only,stage2_dispatch_feature;stage3_feature;stage4_counterfactual_feature,true,false
decision_time,stage2,T_decision,T_decision,order_decision_contract,v2,stage2_dispatch;stage3;stage4_counterfactual,,false,false
planned_route_link_id,stage2,T_decision,T_decision,frozen_od_network_cost,v2,stage2_dispatch;stage3;stage4_counterfactual,revealed_route_oracle,false,false
feature_availability_time,stage2,T_decision,T_decision,stage2_feature_registry,v2,stage2_dispatch;stage2_audit,,false,false
estimated_link_entry_time,stage2,T_decision,T_decision,stage2_prediction,v2,stage2_output;stage3;stage4_counterfactual,stage2_dispatch_feature_cutoff,false,false
stage2_lcs_prediction,stage2,T_decision,T_decision,held_out_dispatch_model,v2,stage3_feature;stage4_lineage,,false,false
stage2_pmis_prediction,stage2,T_decision,T_decision,held_out_dispatch_model,v2,stage3_feature;stage4_lineage,,false,false
stage2_rts_prediction,stage2,T_decision,T_decision,held_out_dispatch_model,v2,stage3_feature;stage4_lineage,,false,false
stage2_iis_prediction,stage2,T_decision,T_decision,held_out_dispatch_model,v2,stage3_feature;stage4_lineage,,false,false
predicted_service_time_distribution,stage2,T_decision,T_decision,held_out_dispatch_model,v2,stage4_counterfactual,,false,false
stage3_lcs_expected,stage3,T_decision,T_decision,held_out_stage2_aggregation,v2,stage4_counterfactual,,false,false
stage3_lcs_tail_probability,stage3,T_decision,T_decision,validation_calibrated_prediction,v2,stage4_counterfactual,,false,false
stage3_lcs_uncertainty,stage3,T_decision,T_decision,held_out_stage2_and_stage3_ensemble,v2,stage4_counterfactual,,false,false
stage3_pmis_expected,stage3,T_decision,T_decision,held_out_stage2_aggregation,v2,stage4_counterfactual,,false,false
stage3_pmis_tail_probability,stage3,T_decision,T_decision,validation_calibrated_prediction,v2,stage4_counterfactual,,false,false
stage3_pmis_uncertainty,stage3,T_decision,T_decision,held_out_stage2_and_stage3_ensemble,v2,stage4_counterfactual,,false,false
stage3_rts_expected,stage3,T_decision,T_decision,held_out_stage2_aggregation,v2,stage4_counterfactual,,false,false
stage3_rts_tail_probability,stage3,T_decision,T_decision,validation_calibrated_prediction,v2,stage4_counterfactual,,false,false
stage3_rts_uncertainty,stage3,T_decision,T_decision,held_out_stage2_and_stage3_ensemble,v2,stage4_counterfactual,,false,false
stage3_overall_probability,stage3,T_decision,T_decision,validation_calibrated_prediction,v2,stage4_counterfactual,,false,false
stage3_overall_severity,stage3,T_decision,T_decision,held_out_continuous_model,v2,stage4_counterfactual,,false,false
stage3_extended_overall_probability,stage3,T_decision,T_decision,extended_label_model_only_or_NA,v2,stage4_counterfactual,,false,false
iis_availability,stage3,T_decision,T_decision,held_out_stage2_aggregation,v2,stage4_counterfactual,,false,false
route_prediction_confidence,stage3,T_decision,T_decision,held_out_uncertainty_and_route_quality,v2,stage4_counterfactual,,false,false
coverage_mask,stage3,T_decision,T_decision,stage3_missing_modality_policy,v2,stage4_counterfactual,,false,false
historical_service_time_sec,stage4,T_complete,T_complete,raw_order_completion,v2,historical_replay;evaluation_only,stage4_counterfactual,true,false
counterfactual_service_time_sec,stage4,T_decision,T_decision,predicted_distribution_plus_frozen_residual,v2,stage4_counterfactual,historical_replay,false,false
test_day_population_quantile,stage3,T_complete,T_complete,test_population_statistic,v2,evaluation_only,stage2_dispatch;stage3_calibration;stage4_counterfactual,true,true
hv_route_id,stage35,T_decision,T_decision,offline_route_manifest,v3,stage4_counterfactual,,false,false
av_route_id,stage35,T_decision,T_decision,offline_route_manifest,v3,stage4_counterfactual,,false,false
hv_route_distance_m,stage35,T_decision,T_decision,frozen_network_route,v3,stage4_counterfactual,,false,false
av_route_distance_m,stage35,T_decision,T_decision,frozen_network_route,v3,stage4_counterfactual,,false,false
hv_route_expected_time_sec,stage35,T_decision,T_decision,stage2_dispatch_prediction,v3,stage4_counterfactual,,false,false
av_route_expected_time_sec,stage35,T_decision,T_decision,stage2_dispatch_prediction,v3,stage4_counterfactual,,false,false
hv_route_risk_vector,stage35,T_decision,T_decision,stage3_route_risk,v3,stage4_counterfactual,,false,false
av_route_risk_vector,stage35,T_decision,T_decision,stage3_route_risk,v3,stage4_counterfactual,,false,false
av_route_available,stage35,T_decision,T_decision,registered_odd_and_detour_constraints,v3,stage4_counterfactual,,false,false
av_route_detour_ratio,stage35,T_decision,T_decision,offline_route_comparison,v3,stage4_counterfactual,,false,false
